Work Item ID,Issue Type,Summary,Description,Parent,Labels,Priority
CS-013,Story,TAV-CUS-ACC-005 Customer signs in with Google OAuth,"Implements Action Story TAV-CUS-ACC-005.

Trigger
Customer clicks Google Sign In button

Immediate UI Reaction
Redirects to Google OAuth screen

System Action
Google OAuth flow initiated <5s
Customer selects account
Grants permissions
OAuth callback with authorization code
Exchanges code for tokens
Retrieves Google profile data
Checks if email exists in database
Existing user: Signs in
New user: Creates account and links to Google
Creates session
Syncs profile photo
Migrates guest basket

Effects on Other Actors
System:
• Creates or updates customer record
• Links Google account
• Syncs profile data

Failure States
• OAuth cancelled → Return to sign in → Show cancellation message
• Token exchange fails → Show error → Retry or use email/password
• Account linking conflict → Prompt manual resolution",CE-002,"action:TAV-CUS-ACC-005,customer,account",High
CS-014,Story,TAV-CUS-ACC-006 Customer signs in with Facebook OAuth,"Implements Action Story TAV-CUS-ACC-006.

Trigger
Customer clicks Facebook Sign In button

Immediate UI Reaction
Redirects to Facebook OAuth screen

System Action
Facebook OAuth flow initiated <5s
Customer logs in to Facebook
Grants permissions
OAuth callback with authorization code
Exchanges code for user data
Checks if email exists in database
Existing user: Signs in
New user: Creates account and links to Facebook
Creates session
Syncs profile photo
Migrates guest basket

Effects on Other Actors
System:
• Creates or updates customer record
• Links Facebook account
• Syncs profile data

Failure States
• OAuth cancelled → Return to sign in → Show cancellation message
• Token exchange fails → Show error → Retry or use email/password
• Account linking conflict → Prompt manual resolution",CE-002,"action:TAV-CUS-ACC-006,customer,account",High
CS-015,Story,TAV-CUS-ACC-007 Guest proceeds at checkout,"Implements Action Story TAV-CUS-ACC-007.

Trigger
Guest reaches checkout without account

Immediate UI Reaction
Auth options presented: Sign In, Sign Up, Continue as Guest

System Action
Guest selects Continue as Guest
Guest form displayed: Name, Phone, Email (optional)
Validates input
Creates temporary profile
Proceeds to payment
Shows benefits reminder for creating account
After order completion, offers signup with order history preservation

Effects on Other Actors
System:
• Creates temporary guest profile
• Preserves order for potential account linkage

Failure States
• Validation fails → Show errors → Correct and retry
• Temp profile creation fails → Retry → Contact support",CE-002,"action:TAV-CUS-ACC-007,customer,account",Medium
CS-016,Story,TAV-CUS-ACC-008 Customer views profile,"Implements Action Story TAV-CUS-ACC-008.

Trigger
Customer taps profile icon

Immediate UI Reaction
Profile page loads <1s
Displays header with photo, name, email, member since

System Action
Loads customer data from database
Displays account info, loyalty summary, order stats
Shows saved addresses and payment methods (masked)
Displays preferences and action buttons

Failure States
• Profile fails to load → Show error → Retry
• Image fails to load → Show initials placeholder",CE-002,"action:TAV-CUS-ACC-008,customer,account",Low
CS-017,Story,TAV-CUS-ACC-009 Customer edits profile,"Implements Action Story TAV-CUS-ACC-009.

Trigger
Customer taps Edit Profile

Immediate UI Reaction
Edit form opens with pre-filled data
Fields: Name, Phone, Email, Photo, Dietary preferences, Notification settings

System Action
Real-time validation on all fields
Photo upload supports <5MB
Saves changes to database
Email change requires verification
Success confirmation displayed

Effects on Other Actors
System:
• Updates customer record
• Sends email verification if email changed

Failure States
• Validation fails → Show errors → Correct and retry
• Photo upload fails → Resize/compress → Retry
• Email verification not sent → Retry → Manual verification",CE-002,"action:TAV-CUS-ACC-009,customer,account",Medium
CS-018,Story,TAV-CUS-ACC-010 Customer changes password,"Implements Action Story TAV-CUS-ACC-010.

Trigger
Customer navigates to Settings → Change Password

Immediate UI Reaction
Password change form displayed
Fields: Current password, New password, Confirm password

System Action
Verifies current password
Checks new password strength (requirements displayed)
Confirms password match
Hashes new password (bcrypt)
Updates database
Invalidates other sessions (optional)
Sends confirmation email

Effects on Other Actors
System:
• Updates password hash
• Sends security notification email

Failure States
• Current password incorrect → Show error → Forgot password option
• Password requirements not met → Show requirements → Retry
• Database update fails → Retry → Contact support",CE-002,"action:TAV-CUS-ACC-010,customer,account",Medium
CS-019,Story,TAV-CUS-ACC-011 Customer deletes account,"Implements Action Story TAV-CUS-ACC-011.

Trigger
Customer navigates to Settings → Delete Account

Immediate UI Reaction
Warning modal displayed with GDPR information

System Action
Checks for active orders
Requires deletion reason selection
Requires password confirmation
Requires typing DELETE for confirmation
Validates confirmations
Anonymizes personal data (GDPR compliant)
Retains transaction records (7-year Austrian tax law)
Deletes non-essential data
Zeros loyalty points
Invalidates all sessions
Sends confirmation email
30-day grace period for recovery
Hard delete after grace period

Effects on Other Actors
System:
• Anonymizes customer data
• Retains required transaction records
• Invalidates all active sessions

Failure States
• Active orders exist → Prevent deletion → Complete orders first
• Password incorrect → Show error → Retry
• Deletion fails → Retry → Contact support",CE-002,"action:TAV-CUS-ACC-011,customer,account",High
CS-020,Story,TAV-CUS-ACC-012 Customer logs out,"Implements Action Story TAV-CUS-ACC-012.

Trigger
Customer taps Sign Out

Immediate UI Reaction
Confirmation prompt (optional)

System Action
Invalidates session token <300ms
Clears localStorage/sessionStorage
Option to save basket for later
Logs logout event
Redirects to homepage

Failure States
• Logout fails → Force clear → Manual session clear",CE-002,"action:TAV-CUS-ACC-012,customer,account",Low
CS-021,Story,TAV-CUS-DIN-001 Customer selects dine-in mode,"Implements Action Story TAV-CUS-DIN-001.

Trigger
Customer scans QR code at table

Immediate UI Reaction
Mode selection modal: Dine-In or Takeaway

System Action
Customer selects Dine-In
Saves mode preference with session
Displays table number header (Table 5)
Full menu accessible
Orders sent directly to kitchen
Mode locked for session

Effects on Other Actors
Vendor:
• Kitchen receives dine-in order context

System:
• Records dining mode with session

Failure States
• Mode selection fails → Default to dine-in → Manual override available",CE-003,"action:TAV-CUS-DIN-001,customer,dining",High
CS-022,Story,TAV-CUS-DIN-002 Customer selects takeaway mode,"Implements Action Story TAV-CUS-DIN-002.

Trigger
Customer selects dining mode

Immediate UI Reaction
Takeaway mode selected
Badge displayed throughout session

System Action
Saves takeaway mode
Filters menu (if applicable)
Pickup time modal displayed
Options: ASAP, 30min, 1h, Custom time
Saves pickup time preference
Configures checkout for takeaway

Effects on Other Actors
Vendor:
• Kitchen receives takeaway context
• Preparation time adjusted

System:
• Records takeaway mode and pickup time

Failure States
• Pickup time not selected → Prompt selection → Default to ASAP",CE-003,"action:TAV-CUS-DIN-002,customer,dining",High
CS-023,Story,TAV-CUS-DIN-003 Customer books table reservation,"Implements Action Story TAV-CUS-DIN-003.

Trigger
Customer taps Reserve Table on restaurant profile

Immediate UI Reaction
Reservation form displayed

System Action
Calendar for date selection
Time picker shows available slots
Party size selector
Capacity check against restaurant availability
Special requests text field
Contact info fields
Validates all fields
Creates reservation with unique booking ID
Sends confirmation email/SMS <1min
Adds to calendar (ICS file)
Displays in My Reservations

Effects on Other Actors
Vendor:
• Restaurant receives reservation notification
• Table reserved in system

System:
• Creates reservation record
• Sends confirmation communications

Failure States
• No availability → Show alternative times → Waitlist option
• Confirmation email fails → Retry → Show booking ID for manual contact",CE-003,"action:TAV-CUS-DIN-003,customer,dining",Medium
CS-024,Story,TAV-CUS-DIN-004 Customer views reservation details,"Implements Action Story TAV-CUS-DIN-004.

Trigger
Customer taps reservation in My Reservations

Immediate UI Reaction
Reservation detail page displayed

System Action
Shows: Booking ref, Restaurant, Date/time, Party size, Special requests, Status, QR code
Action buttons: Modify, Cancel, Add to Calendar, Get Directions, Call Restaurant, Share

Failure States
• Details fail to load → Show cached data → Retry",CE-003,"action:TAV-CUS-DIN-004,customer,dining",Low
CS-025,Story,TAV-CUS-DIN-005 Customer modifies reservation,"Implements Action Story TAV-CUS-DIN-005.

Trigger
Customer taps Modify on reservation

Immediate UI Reaction
Modification form with pre-filled data

System Action
Checks eligibility (>2 hours before reservation)
Allows changes to date, time, party size, special requests
Checks real-time availability for new time
Available: Updates reservation with same booking reference
Unavailable: Suggests alternative times
Sends confirmation of modification

Effects on Other Actors
Vendor:
• Restaurant receives modification notification
• Table availability updated

Failure States
• <2h before reservation → Prevent modification → Call restaurant
• No availability for new time → Show alternatives → Keep original or cancel",CE-003,"action:TAV-CUS-DIN-005,customer,dining",Medium
CS-026,Story,TAV-CUS-DIN-006 Customer cancels reservation,"Implements Action Story TAV-CUS-DIN-006.

Trigger
Customer taps Cancel on reservation

Immediate UI Reaction
Warning modal with cancellation policy and potential fees

System Action
Requires cancellation reason selection
Optional note field
Confirmation required
Validates timing for fees
Cancels reservation (status: Cancelled)
Releases table in system
Processes cancellation fees if applicable
Sends cancellation confirmation
Notifies restaurant
Moves to Past Reservations

Effects on Other Actors
Vendor:
• Restaurant receives cancellation notification
• Table released for re-booking

System:
• Updates reservation status
• Processes fees if policy requires

Failure States
• Late cancellation → Charge fee → Clear policy communication
• Cancellation fails → Retry → Manual cancellation required",CE-003,"action:TAV-CUS-DIN-006,customer,dining",Medium
CS-027,Story,TAV-CUS-DIN-007 Customer checks table availability before visiting,"Implements Action Story TAV-CUS-DIN-007.

Trigger
Customer taps Check Table Availability on restaurant profile

Immediate UI Reaction
Real-time availability modal displayed

System Action
Party size selector (1-2, 3-4, 5-6, 7-8, 9+)
Time selector (Now, 30min, 1h, 2h, Custom)
Checks real-time table availability
Displays status: Available now, No tables (next available at X), High demand
Shows estimated wait time
Options: Walk In, Reserve Table, Choose Different Restaurant

Effects on Other Actors
Vendor:
• Real-time table data queried

System:
• Checks current reservations and occupancy

Failure States
• Availability check fails → Show estimated → Manual check option",CE-003,"action:TAV-CUS-DIN-007,customer,dining",Low
CS-028,Story,TAV-CUS-MEN-001 Customer views menu categories,"Implements Action Story TAV-CUS-MEN-001.

Trigger
Customer accesses restaurant menu

Immediate UI Reaction
Menu categories displayed
Categories: Starters, Mains, Sides, Desserts, Beverages

System Action
Loads menu <2s
Category headers with name, count, icon
Sticky headers during scroll
Category pills for quick jump
Highlights active category
Smooth scroll animations

Failure States
• Menu fails to load → Show cached menu → Retry
• Images fail → Show text-only version",CE-004,"action:TAV-CUS-MEN-001,customer,menu",Medium
CS-029,Story,TAV-CUS-MEN-002 Customer filters by dietary preference,"Implements Action Story TAV-CUS-MEN-002.

Trigger
Customer taps filter icon on menu

Immediate UI Reaction
Filter panel opens
Options: Vegetarian, Vegan, Gluten-Free, Dairy-Free, Nut-Free, Halal, Kosher

System Action
Multiple filter selection enabled (AND logic)
Applies filters <300ms
Updates menu display instantly
Shows filter badges with count
Removable badges
Saves filter preference for session

Failure States
• Filter application fails → Retry → Manual filtering",CE-004,"action:TAV-CUS-MEN-002,customer,menu",High
CS-030,Story,TAV-CUS-MEN-003 Customer searches menu,"Implements Action Story TAV-CUS-MEN-003.

Trigger
Customer taps search icon

Immediate UI Reaction
Search input field activates

System Action
Real-time search as user types <300ms
Searches: Dish names, descriptions, ingredients
Highlights matching terms
Result count displayed
Ranking: Exact match > Partial match > Ingredient match
Cross-language support
Clear button to reset search

Failure States
• No results → Show empty state → Suggest browsing categories
• Search fails → Retry → Manual browsing",CE-004,"action:TAV-CUS-MEN-003,customer,menu",High
CS-031,Story,TAV-CUS-MEN-004 Customer views dish card,"Implements Action Story TAV-CUS-MEN-004.

Trigger
Customer scrolls menu

Immediate UI Reaction
Dish cards displayed in grid/list

System Action
Lazy-loads images for performance
Each card shows: Photo, Name, Description, Price, Dietary badges, Rating, Quick add button
Out-of-stock items grayed with badge
Hover/tap highlights card
Popular badge on trending items
Spicy level indicator
Optimized images with alt text

Failure States
• Images fail to load → Show placeholder → Lazy retry",CE-004,"action:TAV-CUS-MEN-004,customer,menu",Medium
CS-032,Story,TAV-CUS-MEN-005 Customer sees AI-recommended dishes,"Implements Action Story TAV-CUS-MEN-005.

Trigger
Menu loads

Immediate UI Reaction
AI recommendations section appears <1s

System Action
Analyzes context: Time of day, weather, order history, trends
AI algorithm generates 3-5 recommendations
Displays with badges: Recommended, Trending, Popular
Carousel format
Shows reasoning: Based on your love for Italian cuisine OR Customers like you also ordered
Tracks performance: Views, clicks, conversions
Updates ML model based on interactions

Failure States
• Recommendations fail to load → Hide section → Show popular items",CE-004,"action:TAV-CUS-MEN-005,customer,menu",Medium
CS-033,Story,TAV-CUS-MEN-006 Customer views AI review summary,"Implements Action Story TAV-CUS-MEN-006.

Trigger
Customer views dish detail

Immediate UI Reaction
Reviews section with AI summary at top

System Action
AI summary displays 4-5 bullet points
Highlights: Flavor, portions, value, pros/cons
Metadata: Based on X reviews, last updated date
Sentiment distribution: 85% positive, 10% neutral, 5% negative
Keyword tag cloud
Link to full reviews
Multilingual support

Failure States
• AI summary unavailable → Show review count only → Link to reviews",CE-004,"action:TAV-CUS-MEN-006,customer,menu",Medium
CS-034,Story,TAV-CUS-MEN-007 Customer toggles nutrition display,"Implements Action Story TAV-CUS-MEN-007.

Trigger
Customer taps nutrition toggle

Immediate UI Reaction
Nutrition badges added to dish cards

System Action
Toggle switches instantly
Calorie badges appear on cards
Dish detail shows full nutrition: Calories, protein, carbs, fat, fiber, sodium
Allergen icons and list displayed
Serving size information
Comparison tools (optional)
Saves preference for session

Failure States
• Nutrition data unavailable → Show message → Contact restaurant",CE-004,"action:TAV-CUS-MEN-007,customer,menu",Medium
CS-035,Story,TAV-CUS-MEN-008 Customer views out-of-stock indicator,"Implements Action Story TAV-CUS-MEN-008.

Trigger
Restaurant marks dish out-of-stock

Immediate UI Reaction
Dish card grayed with red Out of Stock badge

System Action
Real-time update via WebSocket/polling <5s
Add-to-basket button disabled
Tap shows unavailable message
Suggests alternative dishes
Real-time sync (when available again, badge removed)

Effects on Other Actors
Vendor:
• Stock status managed in vendor dashboard

System:
• Updates stock status in real-time

Failure States
• Real-time update delayed → Show last known status → Manual refresh",CE-004,"action:TAV-CUS-MEN-008,customer,menu",High
CS-036,Story,TAV-CUS-MEN-009 Customer views allergen information,"Implements Action Story TAV-CUS-MEN-009.

Trigger
Customer views dish card or detail

Immediate UI Reaction
Allergen icons displayed on card

System Action
Common allergen badges: Gluten, Dairy, Eggs, Nuts, Soy, Fish, Shellfish, Sesame
Dish detail shows full allergen list
Critical allergens highlighted with warning banner
Cross-contamination information (may contain traces)
Filter menu by allergen
Allergen legend accessible
Allergen-Free badge for safe dishes

Failure States
• Allergen info incomplete → Warning shown → Contact restaurant",CE-004,"action:TAV-CUS-MEN-009,customer,menu",High
CS-037,Story,TAV-CUS-MEN-010 Customer opens dish detail modal,"Implements Action Story TAV-CUS-MEN-010.

Trigger
Customer taps dish card

Immediate UI Reaction
Dish detail modal slides up <300ms

System Action
Header: Large photo, name, price
Photo gallery with swipe
Full description
Category tags: Main Course, Spicy, Chef Special
Prep time estimate
Dietary and allergen badges
Ingredients section (expandable)
Nutrition facts (expandable)
Customization options: Size, modifications, add-ons
Reviews: Rating, AI summary, individual reviews
Add controls: Quantity selector, total price, Add to Basket button
Close: X button, tap outside modal

Failure States
• Modal fails to open → Retry → Show inline detail
• Images fail → Show text-only version",CE-004,"action:TAV-CUS-MEN-010,customer,menu",High
CS-038,Story,TAV-CUS-MEN-011 Customer views dish ingredients,"Implements Action Story TAV-CUS-MEN-011.

Trigger
Customer taps ingredients section in dish detail

Immediate UI Reaction
Ingredients accordion expands

System Action
Complete ingredient list displayed (ordered by quantity)
Allergens highlighted in bold with icon
Warning banner for critical allergens (Contains: Dairy, Gluten)
Optional ingredients listed (May include)
Sourcing information (Organic, Local)
Collapsible section

Failure States
• Ingredients not available → Show message → Contact restaurant",CE-004,"action:TAV-CUS-MEN-011,customer,menu",Medium
CS-039,Story,TAV-CUS-MEN-012 Customer selects dish size,"Implements Action Story TAV-CUS-MEN-012.

Trigger
Customer views size options in dish detail

Immediate UI Reaction
Size options displayed: Small, Medium, Large OR Single, Double

System Action
Customer taps size (Medium)
Selection highlighted with border, checkmark, background
Price updates instantly
Serving size and nutrition adjust
Add-to-basket button updates: Add to Basket - €12.50
Size comparison shown: Medium serves 1-2 people
Changing size recalculates all values instantly

Failure States
• Size selection fails → Default to first option → Manual retry",CE-004,"action:TAV-CUS-MEN-012,customer,menu",Medium
CS-040,Story,TAV-CUS-MEN-013 Customer adds ingredient modifications,"Implements Action Story TAV-CUS-MEN-013.

Trigger
Customer views customization section in dish detail

Immediate UI Reaction
Modification options displayed: Extra Ingredients, Remove Ingredients, Substitute

System Action
Customer selects extra cheese
Selection highlighted
Price updates (+€2.00)
Customer selects no onions
Item shown with strikethrough
Customization summary displayed: + Extra cheese +€2.00, - No onions
Total adjusts continuously
Deselection removes modification
Validation prevents conflicts
Add-to-basket button updates with new total

Failure States
• Conflicting modifications → Warning shown → Manual resolution",CE-004,"action:TAV-CUS-MEN-013,customer,menu",Medium
CS-041,Story,TAV-CUS-MEN-014 Customer adds special instructions,"Implements Action Story TAV-CUS-MEN-014.

Trigger
Customer taps special instructions field

Immediate UI Reaction
Text input activates
Placeholder: E.g., Extra spicy, cook well done

System Action
Keyboard appears
Real-time validation (max 200 characters)
Character counter displayed: 50/200
Instruction preview shown
Saved with order item
Editable by tapping field
Displayed in basket
Printed on kitchen ticket

Effects on Other Actors
Vendor:
• Special instructions appear on kitchen ticket

Failure States
• Character limit exceeded → Warning → Truncate to 200
• Instructions not saved → Retry → Manual entry at checkout",CE-004,"action:TAV-CUS-MEN-014,customer,menu",Medium
CS-042,Story,TAV-CUS-MEN-015 Customer adjusts quantity,"Implements Action Story TAV-CUS-MEN-015.

Trigger
Customer views quantity selector in dish detail

Immediate UI Reaction
Quantity selector displayed: -, Quantity: 1, +

System Action
Customer taps +
Quantity increments (1 → 2)
Price updates (€10.00 × 2 = €20.00)
Add-to-basket button updates: Add 2 to Basket - €20.00
Maximum enforced (10): + button disabled at max
Customer taps -
Quantity decrements
Minimum enforced (1): - button disabled at 1
Real-time price calculation

Failure States
• Quantity update fails → Retry → Manual entry option",CE-004,"action:TAV-CUS-MEN-015,customer,menu",Medium
CS-043,Story,TAV-CUS-MEN-016 Customer adds configured dish to basket,"Implements Action Story TAV-CUS-MEN-016.

Trigger
Customer reviews configuration and taps Add to Basket

Immediate UI Reaction
Button animates
Success feedback shown

System Action
Reviews configuration: Size, modifications, instructions, quantity
Final price calculated
Validates all required fields completed
Validates dish availability (not out-of-stock)
Creates basket item: Dish ID, size, modifications, instructions, quantity, price
Adds to basket
Updates basket count badge
Success confirmation: Toast (2x Margherita Pizza added) OR Bottom sheet (View Basket | Continue Shopping)
Haptic feedback (vibrate)
Basket icon animates (bounce/pulse)
Modal closes OR stays open based on preference
No duplicates (combines exact matching configurations)

Effects on Other Actors
System:
• Updates basket state
• Syncs to database if authenticated

Failure States
• Incomplete configuration → Warning → Complete required fields
• Out of stock → Error → Remove or substitute
• Basket full → Warning → Remove items or checkout",CE-004,"action:TAV-CUS-MEN-016,customer,menu",High
CS-044,Story,TAV-CUS-MEN-017 Customer views dish reviews from menu,"Implements Action Story TAV-CUS-MEN-017.

Trigger
Customer taps rating on dish card

Immediate UI Reaction
Dish detail modal opens scrolled to reviews section

System Action
Displays dish overall rating (4.5 stars based on 23 reviews)
Rating distribution shown: 5 stars: 60%, 4 stars: 30%, 3 stars: 10%
AI review summary for this specific dish: Most praised: Perfect crust, fresh ingredients | Most mentioned: Great value, large portion
Recent reviews specific to this dish displayed
Each review shows: Reviewer, rating, text, photos, date, helpful count
Write review option if previously ordered
Reviews influence ordering decision

Failure States
• Reviews fail to load → Show rating only → Retry
• No reviews available → Show empty state → Encourage first review",CE-004,"action:TAV-CUS-MEN-017,customer,menu",Low
CS-045,Story,TAV-CUS-BAS-001 Customer opens basket,"Implements Action Story TAV-CUS-BAS-001.

Trigger
Customer taps basket icon

Immediate UI Reaction
Basket page/modal opens <1s

System Action
Retrieves basket contents from state/localStorage
Validates items: Availability, current prices
Displays basket with itemized list
Each item shows: Photo, name, size/modifications, instructions, quantity, unit price, subtotal
Basket summary: Subtotal, service charge, tax/VAT, total
Empty basket shows: Your basket is empty + Continue Shopping
Edit/delete buttons visible on each item
Checkout and Continue Shopping buttons

Failure States
• Basket fails to load → Retry → Show cached version
• Items unavailable → Flag items → Prompt resolution
• Price changes → Show updates → Require acceptance",CE-005,"action:TAV-CUS-BAS-001,customer,basket",High
CS-046,Story,TAV-CUS-BAS-002 Customer edits basket item,"Implements Action Story TAV-CUS-BAS-002.

Trigger
Customer taps Edit on basket item

Immediate UI Reaction
Dish detail modal reopens with pre-filled configuration

System Action
Pre-fills: Size, modifications, instructions, quantity
Customer makes changes (size M → L, add extra cheese, update quantity)
Validates changes
Customer taps Update Item
Validates new configuration
Replaces original item in basket
Recalculates: Item subtotal, basket total
Success message: Item updated
Basket updates immediately
Updated item displayed with new configuration and price

Effects on Other Actors
System:
• Updates basket state
• Recalculates totals

Failure States
• Edit fails → Retry → Manual re-add
• Invalid configuration → Warning → Correct and retry",CE-005,"action:TAV-CUS-BAS-002,customer,basket",Medium
